time,size
20052400,8
602700,64 
638900,80 
78900,8   
300100,40 
292100,32 
410800,40 
277000,32 
188600,32 
375700,72 
220800,48 
300500,72 
251900,72
152500,40
254700,56
202800,64
93600,24
42000,8
150200,40
60000,24
60900,16
98700,32
108600,40
32000,8
77900,40
36400,16
132500,32
114100,32
229100,72
98800,48
51600,24
31200,8
75100,40
60000,16
94700,32
230900,80
239900,72
109200,48
59300,32
130600,48
91400,32
108400,32
103200,48
44700,16
77300,40
69400,24
149100,48
71900,24
59400,32
86200,32
54800,24
87000,32
195700,80
77300,24
101200,32
199900,56
95300,24
148700,56
228400,56
73400,24
248000,96
52200,16
135400,32
112700,24
61600,24
64900,32
73200,32
34000,16
82200,40
80300,40
34000,16
91700,40
71200,40
65700,48
276800,56
99500,32
68900,40
37900,16
92400,56
40100,24
137800,32
51300,16
145400,40
153100,40
62600,24
80400,48
44700,16
82100,32
84500,24
51100,24
124900,48
92100,48
36300,24
81100,32
42200,32
55500,48
39000,24
70600,24
83000,48
33200,16
177000,88
125700,64
31900,24
94700,48
33000,16
148600,88
